artist,album,year,track_count,spotify_mau,hype_score,days_to_release,event_type,feature_track_count,first_week_streams,streams_per_track
Ed Sheeran,Divide,2017,16,120,9,21,0,0,375,23.44
Ed Sheeran,Equals,2021,14,365,8.5,21,0,0,270,19.29
Drake,Scorpion,2018,25,207,9,7,0,3,559,22.36
Drake,CLB,2021,21,365,9.5,14,0,12,512,24.38
Drake,FATD,2023,23,574,9,14,0,10,411,17.87
Travis Scott,ASTROWORLD,2018,17,207,9,14,0,11,350,20.59
Travis Scott,Utopia,2023,19,574,8,14,0,13,455,23.95
Eminem,TheDeathOfSlimShady,2024,19,640,9.0,45,0,7,382,20.11
The Weeknd,AfterHours,2020,14,299,9,21,0,0,450,32.14
The Weeknd,HUT,2024,22,640,10,21,0,6,580,26.36
Justin Bieber,Justice,2021,16,406,8,14,0,8,252,15.75
SZA,SOS,2022,23,489,9,21,0,4,400,17.39
Taylor Swift,Midnights,2022,20,489,10,21,0,1,776,38.80
Taylor Swift,1989TV,2023,21,574,9,21,0,0,600,28.57
Taylor Swift,TTPD,2024,31,640,10,28,0,2,1173,37.84
Taylor Swift,LifeOfAShowgirl,2025,12,680,10,45,0,1,920,76.66
Sabrina Carpenter,ShortNSweet,2024,12,640,8,21,0,0,450,37.50
Sabrina Carpenter,MansBestFriend,2025,13,715,9.5,30,0,0,610,46.92
Kendrick Lamar,MrMorale,2022,19,422,9.5,25,0,7,338,17.79
Kendrick Lamar,GNX,2024,12,640,10,7,1,7,363,30.25
Ariana Grande,EternalSunshine,2024,13,620,9,28,0,0,230,17.69